employee_id,status,risk_level,attrition_probability,root_cause_status,recommendation,simulated_delta_pp,requires_human_decision,evidence,actionable_features,contextual_features,memory_notes,unresolved_objections,tool_calls
EMP1107,APPROVED_FOR_REVIEW,High,0.793,EXPLAINED,Review team environment and working conditions,-12.14,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 21 vs cohort mean 9.1 (87th percentile, worst 13% of the cohort), contributing +0.67 to the risk logit.",EnvironmentSatisfaction,JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP832,APPROVED_FOR_REVIEW,High,0.7925,EXPLAINED,Review team environment and working conditions,-12.15,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | StockOptionLevel,BusinessTravel_freq,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP875,APPROVED_FOR_REVIEW,High,0.7925,EXPLAINED,Review workload and reduce overtime,-46.76,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP4,APPROVED_FOR_REVIEW,High,0.7904,EXPLAINED,Review workload and reduce overtime,-46.82,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1674,APPROVED_FOR_REVIEW,High,0.7853,EXPLAINED,Review workload and reduce overtime,-46.98,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | JobSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP565,APPROVED_FOR_REVIEW,High,0.7805,EXPLAINED,Review compensation and equity package,-11.26,True,"Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",StockOptionLevel,DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP167,APPROVED_FOR_REVIEW,High,0.78,EXPLAINED,Review workload and reduce overtime,-47.12,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 22 vs cohort mean 9.1 (88th percentile, worst 12% of the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP1433,APPROVED_FOR_REVIEW,High,0.7799,EXPLAINED,Review team environment and working conditions,-12.57,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1724,APPROVED_FOR_REVIEW,High,0.7758,EXPLAINED,Review workload and reduce overtime,-47.21,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | JobSatisfaction | EnvironmentSatisfaction,,,,9
EMP932,APPROVED_FOR_REVIEW,High,0.7573,EXPLAINED,Review workload and reduce overtime,-47.5,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",OverTime_flag | JobSatisfaction | WorkLifeBalance,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.",,9
EMP175,APPROVED_FOR_REVIEW,High,0.7546,EXPLAINED,Review workload and reduce overtime,-47.53,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Commute distance is 20 vs cohort mean 9.1 (85th percentile, worst 15% of the cohort), contributing +0.61 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | JobInvolvement | EnvironmentSatisfaction,DistanceFromHome,Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee.,,10
EMP952,APPROVED_FOR_REVIEW,High,0.7539,EXPLAINED,Review workload and reduce overtime,-47.54,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 19 vs cohort mean 9.1 (83rd percentile, worst 17% of the cohort), contributing +0.56 to the risk logit.",OverTime_flag,JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP587,APPROVED_FOR_REVIEW,High,0.749,EXPLAINED,Assign an onboarding mentor,-20.92,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Commute distance is 20 vs cohort mean 9.1 (85th percentile, worst 15% of the cohort), contributing +0.61 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.",EnvironmentSatisfaction | RelationshipSatisfaction,BusinessTravel_freq | DistanceFromHome,,,9
EMP684,APPROVED_FOR_REVIEW,High,0.7488,EXPLAINED,Review team environment and working conditions,-13.47,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Commute distance is 26 vs cohort mean 9.1 (96th percentile, worst 4% of the cohort), contributing +0.95 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.",EnvironmentSatisfaction | JobSatisfaction,BusinessTravel_freq | DistanceFromHome,,,9
EMP72,APPROVED_FOR_REVIEW,High,0.7454,EXPLAINED,Review workload and reduce overtime,-47.59,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Commute distance is 23 vs cohort mean 9.1 (89th percentile, worst 11% of the cohort), contributing +0.78 to the risk logit.",OverTime_flag,DistanceFromHome,,,5
EMP1198,APPROVED_FOR_REVIEW,High,0.7345,EXPLAINED,Assign an onboarding mentor,-21.36,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | RelationshipSatisfaction | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1269,APPROVED_FOR_REVIEW,High,0.7044,EXPLAINED,Review workload and reduce overtime,-47.34,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP1077,APPROVED_FOR_REVIEW,High,0.6793,EXPLAINED,Review workload and reduce overtime,-46.86,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP241,APPROVED_FOR_REVIEW,High,0.6692,EXPLAINED,Review workload and reduce overtime,-46.6,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | JobSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP773,APPROVED_FOR_REVIEW,High,0.6675,EXPLAINED,Review workload and reduce overtime,-46.56,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",OverTime_flag | WorkLifeBalance,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.",,6
EMP1752,APPROVED_FOR_REVIEW,High,0.6673,EXPLAINED,Assign an onboarding mentor,-22.65,True,"Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",JobInvolvement | EnvironmentSatisfaction | StockOptionLevel,JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1604,APPROVED_FOR_REVIEW,High,0.6639,EXPLAINED,Review workload and reduce overtime,-46.46,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag,DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP485,APPROVED_FOR_REVIEW,High,0.6629,EXPLAINED,Review workload and reduce overtime,-46.43,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1780,APPROVED_FOR_REVIEW,High,0.6515,EXPLAINED,Review team environment and working conditions,-15.2,True,"Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP467,APPROVED_FOR_REVIEW,High,0.65,EXPLAINED,Assign an onboarding mentor,-22.81,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",RelationshipSatisfaction | EnvironmentSatisfaction | StockOptionLevel,BusinessTravel_freq,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1175,APPROVED_FOR_REVIEW,High,0.6456,EXPLAINED,Review workload and reduce overtime,-45.89,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1645,APPROVED_FOR_REVIEW,High,0.6452,EXPLAINED,Review workload and reduce overtime,-45.87,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | JobInvolvement,,Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee.,,9
EMP493,APPROVED_FOR_REVIEW,High,0.6413,EXPLAINED,Review workload and reduce overtime,-45.74,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP364,APPROVED_FOR_REVIEW,High,0.6412,EXPLAINED,Review team environment and working conditions,-15.3,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | WorkLifeBalance | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP424,APPROVED_FOR_REVIEW,High,0.6394,EXPLAINED,Review team environment and working conditions,-15.31,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | JobSatisfaction | StockOptionLevel,,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP10,APPROVED_FOR_REVIEW,High,0.6366,EXPLAINED,Review workload and reduce overtime,-45.58,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.",OverTime_flag | JobSatisfaction | RelationshipSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,10
EMP1506,APPROVED_FOR_REVIEW,High,0.627,EXPLAINED,Review team environment and working conditions,-15.4,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.",EnvironmentSatisfaction | WorkLifeBalance,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee.",,7
EMP274,APPROVED_FOR_REVIEW,High,0.6258,EXPLAINED,Assign an onboarding mentor,-22.92,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.",JobSatisfaction,BusinessTravel_freq,,,6
EMP1296,APPROVED_FOR_REVIEW,High,0.6239,EXPLAINED,Review workload and reduce overtime,-45.1,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP1379,APPROVED_FOR_REVIEW,High,0.6191,EXPLAINED,Review compensation and equity package,-14.02,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",StockOptionLevel,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP64,APPROVED_FOR_REVIEW,High,0.6092,EXPLAINED,Review workload and reduce overtime,-44.5,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Previous employers is 9 vs cohort mean 3.16 (96th percentile, worst 4% of the cohort), contributing +0.42 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | StockOptionLevel,NumCompaniesWorked,"Previous employers is confirmed for only 4% of the cohort reviewed so far — this is specific to this employee. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1577,APPROVED_FOR_REVIEW,High,0.6092,EXPLAINED,Review team environment and working conditions,-15.5,True,"Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",EnvironmentSatisfaction | WorkLifeBalance | StockOptionLevel,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual. | Work-life balance is confirmed for only 5% of the cohort reviewed so far — this is specific to this employee. | Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1036,APPROVED_FOR_REVIEW,High,0.6077,EXPLAINED,Review workload and reduce overtime,-44.43,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | StockOptionLevel,,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP1496,APPROVED_FOR_REVIEW,High,0.6045,EXPLAINED,Review workload and reduce overtime,-44.3,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | StockOptionLevel,BusinessTravel_freq,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1292,APPROVED_FOR_REVIEW,High,0.6021,EXPLAINED,Review workload and reduce overtime,-44.19,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | EnvironmentSatisfaction | StockOptionLevel,,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP833,APPROVED_FOR_REVIEW,Medium,0.599,EXPLAINED,Review workload and reduce overtime,-44.06,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
EMP1862,APPROVED_FOR_REVIEW,Medium,0.5948,EXPLAINED,Review workload and reduce overtime,-43.87,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.",OverTime_flag | StockOptionLevel,,"Stock option level is a confirmed driver for 41% of the cohort reviewed so far, so it describes the environment more than this individual.",,6
